Date,Predicted values
2018-05-01,4.247163994054259
2018-06-01,4.051798566907355
2018-07-01,4.266172159023011
2018-08-01,4.054250915737944
2018-09-01,4.07345524400696
2018-10-01,3.975713098757618
2018-11-01,4.083994139718883
2018-12-01,3.9790415738387552
2019-01-01,4.186140207418861
2019-02-01,4.269600553896538
2019-03-01,4.068258904051586
2019-04-01,4.086583093687163
2019-05-01,3.8906568262915577
2019-06-01,3.9086852349980026
2019-07-01,4.007640372506154
2019-08-01,4.001734142005834
2019-09-01,4.004306712714286
2019-10-01,3.809722669180392
2019-11-01,3.9259332935662385
2019-12-01,3.820461031592039
2020-01-01,3.831223978167767
2020-02-01,3.930810664400617
2020-03-01,3.826675744198885
2020-04-01,4.7213664525759445
2020-05-01,14.76784184396923
2020-06-01,12.573769953929084
2020-07-01,10.585124174989609
2020-08-01,9.858466359019584
2020-09-01,8.15115803896772
2020-10-01,8.04376300504969
2020-11-01,7.94570077806063
2020-12-01,7.8561361534177685
2021-01-01,7.774308968579057
2021-02-01,7.699527357032886
2021-03-01,7.631161608772704
2021-04-01,7.568638582731388
2021-05-01,7.511436621552169
2021-06-01,7.459080923534292
2021-07-01,7.411139330651758
2021-08-01,7.367218495238703
2021-09-01,7.326960391297948
2021-10-01,7.290039139449892
2021-11-01,7.256158117324368
2021-12-01,7.225047329733168
2022-01-01,7.196461015268039
2022-02-01,7.170175468068697
2022-03-01,7.145987055416348
2022-04-01,7.123710413547319
2022-05-01,7.10317680566424
2022-06-01,7.08423262756266
2022-07-01,7.066738047601996
2022-08-01,7.050565768942818
2022-09-01,7.03559990305833
2022-10-01,7.021734944516162
2022-11-01,7.008874837925935
2022-12-01,6.996932128766636
2023-01-01,6.985827190552727
2023-02-01,6.975487521475953
2023-03-01,6.965847104276744
2023-04-01,6.956845823660715
2023-05-01,6.9484289360868
2023-06-01,6.94054658721867
2023-07-01,6.933153372754383
2023-08-01,6.926207938734466
2023-09-01,6.919672617779213
2023-10-01,6.913513098025089
2023-11-01,6.907698121820534
2023-12-01,6.9021992115057165
2024-01-01,6.896990419841358
2024-02-01,6.8920481028706355
2024-03-01,6.887350713197391
2024-04-01,6.882878611845192
2024-05-01,6.878613897026826
2024-06-01,6.874540248303939
2024-07-01,6.870642784753263
2024-08-01,6.866907935880217
2024-09-01,6.863323324133898
2024-10-01,6.859877657980508
2024-11-01,6.856560634586014
2024-12-01,6.85336285124418
2025-01-01,6.850275724763781
2025-02-01,6.847291418099481
2025-03-01,6.844402773575184
2025-04-01,6.841603252107222
2025-05-01,6.838886877888009
2025-06-01,6.836248188039282
2025-07-01,6.833682186788208
2025-08-01,6.83118430375975
2025-09-01,6.828750356015292
2025-10-01,6.826376513500736
2025-11-01,6.824059267597605
2025-12-01,6.821795402498218
2026-01-01,6.819581969151073
2026-02-01,6.817416261545416
2026-03-01,6.815295795124727
2026-04-01,6.8132182871377625
2026-05-01,6.811181638753002
2026-06-01,6.809183918778
2026-07-01,6.807223348839388
2026-08-01,6.805298289892252
2026-09-01,6.803407229939396
2026-10-01,6.801548772851768
2026-11-01,6.799721628191063
2026-12-01,6.797924601944465
2027-01-01,6.796156588089536
2027-02-01,6.794416560914659
